bigram,count
psoriatic arthritis,99
sup sup,62
inflammatory skin,49
psoriasis patients,47
patients psoriasis,44
moderate severe,42
quality life,37
atopic dermatitis,35
real world,34
plaque psoriasis,34
cross sectional,32
arthritis psa,31
chronic inflammatory,30
rheumatoid arthritis,30
skin diseases,30
anti inflammatory,25
psoriasis chronic,24
skin disease,24
adverse events,24
severe psoriasis,23
long term,23
disease activity,23
nitric oxide,23
skin barrier,22
il il,22
il 17a,22
immune mediated,21
relationship between,21
among patients,21
healthy controls,20
severe plaque,20
association between,20
patients psa,20
severity index,19
autoimmune diseases,19
patients moderate,19
necrosis factor,19
area severity,18
psoriasis area,18
systematic review,18
year old,18
nail psoriasis,18
index pasi,17
pustular psoriasis,17
tumor necrosis,17
efficacy safety,16
between psoriasis,16
psoriasis risk,15
rheumatic diseases,15
case report,15
clinical trials,15
disease severity,15
lupus erythematosus,14
psa patients,14
weight loss,14
dlqi scores,14
significantly higher,14
therapeutic strategies,13
gut microbiota,13
clinical practice,13
inflammatory bowel,13
inflammatory diseases,13
meta analysis,13
confidence interval,13
skin conditions,13
bowel disease,13
analysis revealed,12
severe disease,12
dermatology life,12
control group,12
machine learning,12
mediated inflammatory,12
mendelian randomization,12
mental health,12
life quality,12
ankylosing spondylitis,12
pro inflammatory,12
quality index,12
side effects,12
arthritis psoriatic,11
risk factors,11
generalized pustular,11
systemic lupus,11
sub rm,11
hidradenitis suppurativa,11
treatment psoriasis,11
mean age,11
logistic regression,11
biologic therapy,11
axial spondyloarthritis,11
rm sub,11
increased risk,11
interval ci,11
retrospective cohort,10
wound healing,10
adverse effects,10
potential therapeutic,10
patients psoriatic,10
psa ax,10
psoriasis severity,10
lichen planus,10
odds ratio,10
interleukin il,10
controlled trials,10
patients treated,10
disease specific,10
high risk,10
glp 1ras,10
stem cells,10
stratum corneum,10
genome wide,10
aged years,10
therapeutic effects,10
safety profile,9
type diabetes,9
global assessment,9
dust exposure,9
single cell,9
pr coin,9
inflammatory effects,9
index dlqi,9
immune dysregulation,9
immune cell,9
psoriasis pso,9
hla 06,9
dermatitis psoriasis,9
psychological distress,9
associated higher,9
oxidative stress,9
pasi pasi,9
pasi score,9
patient reported,9
pediatric rheumatology,9
pso psa,9
skin disorders,9
skin inflammation,9
mediterranean diet,9
anti il,9
risk psoriasis,9
chronic immune,9
organic dust,9
construct validity,8
cd8 sup,8
